id,name,birthdate,deathdate
2185,Duane Journey,,
2186,Duke Johnson,1979-03-20T00:00:00.000,
2187,Dul� Hill,,
2188,Duncan Jones,1971-05-30T00:00:00.000,
2189,Duncan Tucker,,
2190,Dustin Diamond,1977-01-07T00:00:00.000,
2191,Dustin Fitzsimons,1986-12-19T00:00:00.000,
2192,Dustin Hoffman,1937-08-08T00:00:00.000,
2193,Dustin Ingram,1990-01-25T00:00:00.000,
2194,Dustin Lance Black,1974-06-10T00:00:00.000,
2195,Dustin Milligan,1985-07-28T00:00:00.000,
2196,Dustin Nguyen,1962-09-17T00:00:00.000,
2197,Dwayne Johnson,1972-05-02T00:00:00.000,
2198,Dwight H. Little,1956-01-13T00:00:00.000,
2199,Dwight Henry,,
2200,Dwight Yoakam,1956-10-23T00:00:00.000,
2201,Dyan Cannon,1937-01-04T00:00:00.000,
2202,Dylan Authors,,
2203,Dylan Baker,1959-10-07T00:00:00.000,
2204,Dylan Bank,,
2205,Dylan Kussman,,
2206,Dylan Minnette,1996-12-29T00:00:00.000,
2207,Dylan Moran,1971-11-03T00:00:00.000,
2208,Dylan Schombing,,
2209,Dylan Walsh,1963-11-17T00:00:00.000,
2210,E. Elias Merhige,,
2211,E.L. Katz,1981-01-07T00:00:00.000,
2212,Eamonn Walker,1962-06-12T00:00:00.000,
2213,Earl Cameron,1917-08-08T00:00:00.000,
2214,Eartha Kitt,1927-01-17T00:00:00.000,2008-12-25T00:00:00.000
2215,Ebon Moss-Bachrach,1978-08-17T00:00:00.000,
2216,Ed Begley Jr.,1949-09-16T00:00:00.000,
2217,Ed Decter,,
2218,Ed Gass-Donnelly,1977-08-17T00:00:00.000,
2219,Ed Harris,1950-11-28T00:00:00.000,
2220,Ed Lauter,1938-10-30T00:00:00.000,2013-10-16T00:00:00.000
2221,Ed Quinn,1968-02-26T00:00:00.000,
2222,Ed Skrein,1983-03-29T00:00:00.000,
2223,Ed Speleers,1988-04-07T00:00:00.000,
2224,Ed Stoppard,1974-09-16T00:00:00.000,
2225,Ed Wynn,1886-11-09T00:00:00.000,1966-06-19T00:00:00.000
2226,Eddie 'Piolin' Sotelo,,
2227,Eddie Albert,1906-04-22T00:00:00.000,2005-05-26T00:00:00.000
2228,Eddie Baroo,1968-09-25T00:00:00.000,
2229,Eddie Cahill,1978-01-15T00:00:00.000,
2230,Eddie Cibrian,1973-06-16T00:00:00.000,
2231,Eddie Deezen,1957-03-06T00:00:00.000,
2232,Eddie Griffin,1968-07-15T00:00:00.000,
2233,Eddie Izzard,1962-02-07T00:00:00.000,
2234,Eddie Jemison,,
2235,Eddie Jones,,
2236,Eddie Kaye Thomas,1980-10-31T00:00:00.000,
2237,Eddie Marsan,1968-06-09T00:00:00.000,
2238,Eddie O'Flaherty,1968-03-15T00:00:00.000,
2239,Eddie Peng,1982-03-24T00:00:00.000,
2240,Eddie Redmayne,1982-01-06T00:00:00.000,
2241,Eddie Rouse,1954-07-02T00:00:00.000,2014-12-07T00:00:00.000
2242,Eddie Spears,1982-11-29T00:00:00.000,
2243,Eddie Vedder,1964-12-23T00:00:00.000,
2244,Eden Riegel,1981-01-01T00:00:00.000,
2245,Edgar Arreola,,
2246,Edgar Buchanan,1903-03-20T00:00:00.000,1979-04-04T00:00:00.000
2247,Edgar Ram�rez,1977-03-25T00:00:00.000,
2248,Edgar Tancangco,,
2249,Edgar Wright,1974-04-18T00:00:00.000,
2250,Edi Gathegi,1979-03-10T00:00:00.000,
2251,Edie Falco,1963-07-05T00:00:00.000,
2252,Edith Massey,1918-05-28T00:00:00.000,1984-10-24T00:00:00.000
2253,Edmund McMillen,,
2254,Edouard Baer,1966-12-01T00:00:00.000,
2255,Eduard Fern�ndez,1964-08-25T00:00:00.000,
2256,Eduardo Noriega,1973-08-01T00:00:00.000,
2257,Eduardo Ver�stegui,1974-05-21T00:00:00.000,
2258,Edward Andrews,,
2259,Edward Burns,,
2260,Edward Conna,1968-06-19T00:00:00.000,
2261,Edward Dmytryk,1908-09-04T00:00:00.000,1999-07-01T00:00:00.000
2262,Edward Everett Horton,1886-03-18T00:00:00.000,1970-09-29T00:00:00.000
2263,Edward Fox,1937-04-13T00:00:00.000,
2264,Edward Hall,,
2265,Edward Norton,1969-08-18T00:00:00.000,
2266,Edward Zwick,1952-10-08T00:00:00.000,
2267,Edwin Hodge,1985-01-26T00:00:00.000,
2268,Edwin Neal,1945-07-12T00:00:00.000,
2269,Efram Potelle,,
2270,Eileen Brennan,1932-09-03T00:00:00.000,2013-07-28T00:00:00.000
2271,Eion Bailey,1976-06-08T00:00:00.000,
2272,Ejner Federspiel,1896-08-12T00:00:00.000,1981-11-24T00:00:00.000
2273,Ekachai Uekrongtham,,
2274,Elaine Bromka,1950-01-06T00:00:00.000,
2275,Elaine Cassidy,1979-12-31T00:00:00.000,
2276,Elaine Hendrix,1970-12-28T00:00:00.000,
2277,Elaine May,1932-04-21T00:00:00.000,
2278,Elaine Stritch,1925-02-02T00:00:00.000,2014-07-17T00:00:00.000
2279,Eldar Rapaport,,
2280,Elden Henson,1977-08-30T00:00:00.000,
2281,Elea Oberon,,
2282,Eleanor Bron,1938-03-14T00:00:00.000,
2283,Eleanor Parker,1922-06-26T00:00:00.000,2013-12-09T00:00:00.000
2284,Elena Anaya,1975-07-17T00:00:00.000,
2285,Elena Lyadova,1980-12-25T00:00:00.000,
2286,Elena Satine,1987-11-24T00:00:00.000,
2287,Eli Craig,1972-05-25T00:00:00.000,
2288,Eli Marienthal,1986-03-06T00:00:00.000,
2289,Eli Roth,1972-04-18T00:00:00.000,
2290,Elia Kazan,1909-09-07T00:00:00.000,2003-09-28T00:00:00.000
2291,Elijah Kelley,1986-08-01T00:00:00.000,
2292,Elina Abai Kyzy,,
2293,Elina Alminas,,
2294,Elio Germano,1980-09-25T00:00:00.000,
2295,Elisa Donovan,1971-02-03T00:00:00.000,
2296,Elisabeth Harnois,1979-05-26T00:00:00.000,
2297,Elise Muller,1967-08-15T00:00:00.000,
2298,Elise Neal,1966-03-14T00:00:00.000,
2299,Elissa Dowling,,
2300,Eliza Coupe,1981-04-06T00:00:00.000,
2301,Elizabeth Allen Rosenbaum,,
2302,Elizabeth Banks,1974-02-10T00:00:00.000,
2303,Elizabeth Berkley,1972-07-28T00:00:00.000,
2304,Elizabeth Berrington,1970-08-03T00:00:00.000,
2305,Elizabeth Blackmore,,
2306,Elizabeth Daily,1961-09-11T00:00:00.000,
2307,Elizabeth Debicki,,
2308,Elizabeth MacRae,1936-02-22T00:00:00.000,
2309,Elizabeth McGovern,1961-07-18T00:00:00.000,
2310,Elizabeth Meriwether,,
2311,Elizabeth Perkins,1960-11-18T00:00:00.000,
2312,Elizabeth Stenholt,,
2313,Elizabeth Streb,,
2314,Ella Joyce,1954-06-12T00:00:00.000,
2315,Ella Wahlestedt,1998-08-01T00:00:00.000,
2316,Ellar Coltrane,1994-08-27T00:00:00.000,
2317,Ellen Albertini Dow,1913-11-16T00:00:00.000,2015-05-04T00:00:00.000
2318,Ellen Barkin,1954-04-16T00:00:00.000,
2319,Ellen Block,,
2320,Ellen Burstyn,1932-12-07T00:00:00.000,
2321,Ellen Ross,1928-10-25T00:00:00.000,
2322,Ellen Sandweiss,1958-12-30T00:00:00.000,
2323,Ellen Wong,,
2324,Ellia Thompson,,
2325,Ellie Cornell,1963-12-15T00:00:00.000,
2326,Ellie Kendrick,1990-06-06T00:00:00.000,
2327,Elliott Gould,1938-08-29T00:00:00.000,
2328,Ellory Elkayem,1970-08-12T00:00:00.000,
2329,Elodie Yung,1981-02-22T00:00:00.000,
2330,Elpidia Carrillo,1961-08-16T00:00:00.000,
2331,Elsa Lanchester,1902-10-28T00:00:00.000,1986-12-26T00:00:00.000
2332,Elton John,1947-03-25T00:00:00.000,
2333,Elvis Nolasco,,
2334,Elvis Tsui,1960-10-10T00:00:00.000,
2335,Elyas M'Barek,1982-05-29T00:00:00.000,
2336,Embeth Davidtz,1965-08-11T00:00:00.000,
2337,Eme Ikwuakor,,
2338,Emile Ardolino,1943-05-09T00:00:00.000,1993-11-20T00:00:00.000
2339,�mile Gaudreault,,
2340,Emilia Clarke,1986-10-23T00:00:00.000,
2341,Emilia Fox,1974-07-31T00:00:00.000,
2342,�milie Dequenne,1981-08-29T00:00:00.000,
2343,Emilio Estefan Jr.,1953-03-04T00:00:00.000,
2344,Emilio Estevez,1962-05-12T00:00:00.000,
2345,Emily Alyn Lind,,
2346,Emily Baldoni,1984-08-03T00:00:00.000,
2347,Emily Dell,,
2348,Emily Gorell,,
2349,Emily Meade,1989-01-10T00:00:00.000,
2350,Emily Nelson,,
2351,Emily Osment,1992-03-10T00:00:00.000,
2352,Emily Pearson,,
2353,Emily Podleski,1979-05-15T00:00:00.000,
2354,Emily Ratajkowski,1991-06-07T00:00:00.000,
2355,Emily Rios,1989-04-27T00:00:00.000,
2356,Emily Watson,1967-01-14T00:00:00.000,
2357,Emily Wickersham,1984-04-26T00:00:00.000,
2358,Emily Young,,
2359,Emir Kusturica,1954-11-24T00:00:00.000,
2360,Emma Bell,1986-12-17T00:00:00.000,
2361,Emma Caulfield,1973-04-08T00:00:00.000,
2362,Emma de Caunes,1976-09-09T00:00:00.000,
2363,Emma Eliza Regan,,
2364,Emma Kenney,1999-09-14T00:00:00.000,
2365,Emma Lung,,
2366,Emma Stone,1988-11-06T00:00:00.000,
2367,Emma Watson,1990-04-15T00:00:00.000,
2368,Emma-Kate Croghan,,
2369,Emmanuel Kabongo,1986-12-25T00:00:00.000,
2370,Emmanuelle B�art,1963-08-14T00:00:00.000,
2371,Emmanuelle Bercot,1967-11-06T00:00:00.000,
2372,Emmanuelle Riva,1927-02-24T00:00:00.000,2017-01-27T00:00:00.000
2373,Emmanuelle Seigner,1966-06-22T00:00:00.000,
2374,Emmanuelle Vaugier,1976-06-23T00:00:00.000,
2375,Emraan Hashmi,1979-03-24T00:00:00.000,
2376,Enrico Colantoni,1963-02-14T00:00:00.000,
2377,Enrique Begne,,
2378,Enrique Iglesias,1975-05-08T00:00:00.000,
2379,Enrique Murciano,1973-07-09T00:00:00.000,
2380,Enrique Vill�n,,
2381,Enzo Petito,1897-07-24T00:00:00.000,1967-07-17T00:00:00.000
2382,Eoin Macken,1987-04-15T00:00:00.000,
2383,Eric Ambriz,,
2384,Eric Blakeney,1959-09-14T00:00:00.000,
2385,Eric Blore,1887-12-23T00:00:00.000,1959-03-02T00:00:00.000
2386,Eric Bress,1962-03-25T00:00:00.000,
2387,Eric Brevig,,
2388,Eric Bross,1964-01-21T00:00:00.000,
2389,Eric Bugbee,,
2390,Eric Cantona,1966-05-24T00:00:00.000,
2391,Eric Christmas,1916-03-19T00:00:00.000,2000-07-22T00:00:00.000
2392,Eric Dane,1972-11-09T00:00:00.000,
2393,Eric Darnell,,
2394,Eric Eason,,
2395,Eric Elmosnino,1964-05-02T00:00:00.000,
2396,Eric England,1988-02-23T00:00:00.000,
2397,Eric Godon,1959-02-07T00:00:00.000,
2398,Eric Idle,1943-03-29T00:00:00.000,
2399,Eric Jacobson,1970-07-25T00:00:00.000,
2400,Eric Johnson,1974-04-28T00:00:00.000,
2401,Eric Lange,1973-02-19T00:00:00.000,
2402,Eric Lartigau,,
2403,Eric Lavaine,,
2404,Eric Leighton,1962-11-06T00:00:00.000,
2405,Eric Lloyd,1986-05-19T00:00:00.000,
2406,Eric Mabius,1971-04-22T00:00:00.000,
2407,Eric McCormack,1963-04-18T00:00:00.000,
2408,Eric Mendelsohn,1964-11-01T00:00:00.000,
2409,Eric Mendenhall,,
2410,Eric Nicholas,,
2411,Eric Peterson,1946-10-02T00:00:00.000,
2412,Eric Schaeffer,1962-01-22T00:00:00.000,
2413,Eric Schlosser,1959-08-17T00:00:00.000,
2414,Eric Schweig,1967-06-19T00:00:00.000,
2415,Eric Sheffer Stevens,1972-06-19T00:00:00.000,
2416,Eric Stoltz,1961-09-30T00:00:00.000,
2417,Eric Stonestreet,1971-09-09T00:00:00.000,
2418,Eric Stuart,1967-10-18T00:00:00.000,
2419,Eric Styles,,
2420,Eric Sykes,1923-05-04T00:00:00.000,2012-07-04T00:00:00.000
2421,�ric Tessier,1883-05-28T00:00:00.000,1973-06-01T00:00:00.000
2422,Eric Valette,,
2423,Eric Winter,1976-07-17T00:00:00.000,
2424,Eric Worre,,
2425,Erica Leerhsen,1976-02-14T00:00:00.000,
2426,Erica Linz,,
2427,Erick Avari,1952-04-13T00:00:00.000,
2428,Erick Elias,1980-06-23T00:00:00.000,
2429,Ericson Core,,
2430,Erik Canuel,,
2431,Erik Estrada,1949-03-16T00:00:00.000,
2432,Erik Knudsen,1988-03-25T00:00:00.000,
2433,Erik Palladino,1968-05-10T00:00:00.000,
2434,Erik Per Sullivan,1991-07-12T00:00:00.000,
2435,Erik White,,
2436,Erika Christensen,1982-08-19T00:00:00.000,
2437,Erin Bethea,1982-08-12T00:00:00.000,
2438,Erin Boyes,,
2439,Erin Cipolletti,,
2440,Erin Daniels,1972-10-09T00:00:00.000,
2441,Erin Fitzgerald,1972-09-21T00:00:00.000,
2442,Erin Gray,1950-01-07T00:00:00.000,
2443,Erin O'Brien,1975-01-31T00:00:00.000,
2444,Erin Pitt,,
2445,Erin Wasson,1982-01-20T00:00:00.000,
2446,Erland Josephson,1923-06-15T00:00:00.000,2012-02-25T00:00:00.000
2447,Ernest R. Dickerson,1951-06-25T00:00:00.000,
2448,Ernie Barbarash,,
2449,Ernie Reyes Jr.,1972-01-15T00:00:00.000,
2450,Eros Vlahos,1995-01-13T00:00:00.000,
2451,Errol Flynn,1909-06-20T00:00:00.000,1959-10-14T00:00:00.000
2452,Errol Morris,1948-02-05T00:00:00.000,
2453,Esai Morales,1962-10-01T00:00:00.000,
2454,Essence Atkins,1972-02-07T00:00:00.000,
2455,Essie Davis,,
2456,Estella Warren,1978-12-23T00:00:00.000,
2457,Estelle Parsons,1927-11-20T00:00:00.000,
2458,Esther Williams,1921-08-08T00:00:00.000,2013-06-06T00:00:00.000
2459,Etan Cohen,,
2460,Ethan Coen,1957-09-21T00:00:00.000,
2461,Ethan Embry,1978-06-13T00:00:00.000,
2462,Ethan Maniquis,,
2463,Ethan Peck,1986-03-02T00:00:00.000,
2464,Ethan Stiefel,,
2465,Ethan Suplee,1976-05-25T00:00:00.000,
2466,�tienne Faure,,
2467,Eug�ne Louri�,1903-04-08T00:00:00.000,1991-05-26T00:00:00.000
2468,Eugene Roche,1928-09-22T00:00:00.000,2004-07-28T00:00:00.000
2469,Eugenia Khirivskaya,1981-09-03T00:00:00.000,
2470,Eugenie Bondurant,1961-04-27T00:00:00.000,
2471,Eugenio Derbez,1962-09-02T00:00:00.000,
2472,Eva Amurri Martino,1985-03-15T00:00:00.000,
2473,Eva Birthistle,,
2474,Eva Boehnke,,
2475,Eva Bourne,,
2476,Eva Carrozza,,
2477,Eva Green,1980-07-06T00:00:00.000,
2478,Eva LaRue,1966-12-27T00:00:00.000,
2479,Eva Marcille,1984-10-30T00:00:00.000,
2480,Eva Marie Saint,1924-07-04T00:00:00.000,
2481,Evan Goldberg,,
2482,Evan Jones,,
2483,Evan McGuire,,
2484,Evan Parke,1968-01-02T00:00:00.000,
2485,Evan Ross,1988-08-26T00:00:00.000,
2486,Eve,1978-11-10T00:00:00.000,
2487,Eve Ensler,1953-05-25T00:00:00.000,
2488,Eve Plumb,1958-04-29T00:00:00.000,
2489,Evelyn Jefferson,,
2490,Everett McGill,1945-10-21T00:00:00.000,
2491,Everett Sloane,1909-10-01T00:00:00.000,1965-08-06T00:00:00.000
2492,Evgeniy Mironov,1966-11-29T00:00:00.000,
2493,Ewen Bremner,1972-01-23T00:00:00.000,
2494,Ewen Solon,1917-09-07T00:00:00.000,1985-07-07T00:00:00.000
2495,Exie Booker,,
2496,Eytan Fox,1964-08-21T00:00:00.000,
2497,Ezra Miller,1992-09-30T00:00:00.000,
2498,F. Gary Gray,1969-07-17T00:00:00.000,
2499,F. Murray Abraham,1939-10-24T00:00:00.000,
2500,Fabi�n Bielinsky,1959-02-03T00:00:00.000,2006-06-28T00:00:00.000
2501,Fabian Bolin,,
2502,Fabio Testi,1941-08-02T00:00:00.000,
2503,Fabrice Luchini,1951-11-01T00:00:00.000,
2504,Facundo Lombard,,
2505,Fadia Nadda,,
2506,Faizon Love,1968-06-14T00:00:00.000,
2507,Fana Mokoena,1971-05-13T00:00:00.000,
2508,Fann Wong,1971-01-27T00:00:00.000,
2509,Fanny Ardant,1949-03-22T00:00:00.000,
2510,Fares Fares,1973-04-29T00:00:00.000,
2511,Farrah Fawcett,1947-02-02T00:00:00.000,2009-06-25T00:00:00.000
2512,Fatih Akin,1973-08-25T00:00:00.000,
2513,Fay Masterson,1974-04-15T00:00:00.000,
2514,Faye Dunaway,1941-01-14T00:00:00.000,
2515,Fede Alvarez,1978-02-09T00:00:00.000,
2516,Fedja van Hu�t,1973-06-21T00:00:00.000,
2517,Fedor Bondarchuk,1967-05-09T00:00:00.000,
2518,Felicia Pearson,1980-05-18T00:00:00.000,
2519,Felicity Huffman,1962-12-09T00:00:00.000,
2520,Felix Avitia,2002-10-03T00:00:00.000,
2521,F�lix Moati,1989-08-04T00:00:00.000,
2522,Fenella Woolgar,1969-08-04T00:00:00.000,
2523,Fenton Bailey,,
2524,Ferdinando Vetere,,
2525,Fereshteh Sadre Orafaiy,,
2526,Fergie,1975-03-27T00:00:00.000,
2527,Fernanda Andrade,,
2528,Fernanda Machado,1980-10-10T00:00:00.000,
2529,Fernanda Montenegro,1929-10-16T00:00:00.000,
2530,Fernanda Torres,1965-09-14T00:00:00.000,
2531,Fernando Baez Mella,,
2532,Fernando Cayo,1968-04-22T00:00:00.000,
2533,Fernando Le�n de Aranoa,1968-05-26T00:00:00.000,
2534,Fernando Meirelles,1955-11-09T00:00:00.000,
2535,Fernando Rey,1917-09-20T00:00:00.000,1994-03-09T00:00:00.000
2536,Feroz Abbas Khan,,
2537,Ferzan Ozpetek,1959-02-03T00:00:00.000,
2538,Filippo Timi,1974-02-27T00:00:00.000,
2539,Fina Torres,1969-04-25T00:00:00.000,
2540,Finlay Currie,1878-01-20T00:00:00.000,1968-05-09T00:00:00.000
2541,Finn Ireland,,
2542,Finn Taylor,1958-07-04T00:00:00.000,
2543,Finn Wittrock,1984-10-28T00:00:00.000,
2544,Finola Hughes,1959-10-29T00:00:00.000,
2545,Fiona Dourif,1981-10-30T00:00:00.000,
2546,Fiona Glascott,1982-11-22T00:00:00.000,
2547,Fiona Shaw,1958-07-10T00:00:00.000,
2548,Fionnula Flanagan,1941-12-10T00:00:00.000,
2549,Firass Dirani,1984-04-29T00:00:00.000,
2550,Fisher Stevens,1963-11-27T00:00:00.000,
2551,Flaco Navaja,,
2552,Flavio Parenti,,
2553,Flea,1962-10-16T00:00:00.000,
2554,Flint Beverage,,
2555,Florence Ayisi,,
2556,Florence Henderson,1934-02-14T00:00:00.000,2016-11-24T00:00:00.000
2557,Florent-Emilio Siri,1965-03-02T00:00:00.000,
2558,Floria Sigismondi,,
2559,Florian Henckel von Donnersmarck,1973-05-02T00:00:00.000,
2560,Florian Lukas,1973-03-16T00:00:00.000,
2561,Floyd Mutrux,1941-06-25T00:00:00.000,
2562,Forest Whitaker,1961-07-15T00:00:00.000,
2563,Forrest Tucker,1919-02-12T00:00:00.000,1986-10-25T00:00:00.000
2564,Fran Drescher,1957-09-30T00:00:00.000,
2565,Fran Kranz,1981-07-13T00:00:00.000,
2566,Frances Bavier,1902-12-14T00:00:00.000,1989-12-06T00:00:00.000
2567,Frances Bay,1919-01-23T00:00:00.000,2011-09-15T00:00:00.000
2568,Frances Conroy,1953-11-13T00:00:00.000,
2569,Frances Fisher,1956-10-21T00:00:00.000,2016-12-27T00:00:00.000
2570,Frances Lee McCain,1944-07-28T00:00:00.000,
2571,Frances O'Connor,1967-06-12T00:00:00.000,
2572,Francesc Pag�s,,
2573,Francesca Capaldi,,
2574,Francesca Gregorini,1968-08-07T00:00:00.000,
2575,Francesca Rettondini,1971-03-07T00:00:00.000,
2576,Francine Blake,,
2577,Francis Capra,1983-04-27T00:00:00.000,
2578,Francis Ford Coppola,1939-04-07T00:00:00.000,
2579,Francis Lawrence,1951-11-07T00:00:00.000,
2580,Francis Lederer,1899-11-06T00:00:00.000,2000-05-25T00:00:00.000
2581,Franck Khalfoun,,
2582,Franco Nero,1941-11-23T00:00:00.000,
2583,Franco Zeffirelli,1923-02-12T00:00:00.000,
2584,Fran�ois B�gaudeau,,
2585,Fran�ois Berl�and,1952-04-22T00:00:00.000,
2586,Fran�ois Chau,1959-10-26T00:00:00.000,
2587,Fran�ois Cluzet,1955-09-21T00:00:00.000,
2588,Fran�ois Damiens,1973-01-17T00:00:00.000,
2589,Fran�ois Girard,1963-01-12T00:00:00.000,
2590,Fran�ois Ozon,1967-11-15T00:00:00.000,
2591,Fran�ois Truffaut,1932-02-06T00:00:00.000,1984-10-21T00:00:00.000
2592,Fran�oise Yip,1972-09-04T00:00:00.000,
2593,Frank Borzage,1894-04-23T00:00:00.000,1962-06-19T00:00:00.000
2594,Frank Capra,1897-05-18T00:00:00.000,1991-09-03T00:00:00.000
2595,Frank Coraci,1966-02-03T00:00:00.000,
2596,Frank Darabont,1959-01-28T00:00:00.000,
2597,Frank Dillane,1991-04-21T00:00:00.000,
2598,Frank Faylen,1905-12-08T00:00:00.000,1985-08-02T00:00:00.000
2599,Frank Finlay,1926-08-06T00:00:00.000,2016-01-30T00:00:00.000
2600,Frank Gerrish,1963-03-14T00:00:00.000,
2601,Frank Grillo,1965-06-08T00:00:00.000,
2602,Frank Hvam,1970-09-12T00:00:00.000,
2603,Frank LaLoggia,1954-01-12T00:00:00.000,
2604,Frank Langella,1938-01-01T00:00:00.000,
2605,Frank Lotito,,
2606,Frank Marshall,1946-09-13T00:00:00.000,
2607,Frank McHugh,1898-05-23T00:00:00.000,1981-09-11T00:00:00.000
2608,Frank Miller,1957-01-27T00:00:00.000,
2609,Frank Nissen,,
2610,Frank Oz,1944-05-25T00:00:00.000,
2611,Frank Perry,1930-08-21T00:00:00.000,1995-08-29T00:00:00.000
2612,Frank Rautenbach,1972-05-12T00:00:00.000,
2613,Frank Sebastiano,,
2614,Frank Vincent,1939-08-04T00:00:00.000,
2615,Frank Welker,1946-03-12T00:00:00.000,
2616,Frank Whaley,1963-07-20T00:00:00.000,
2617,Frankie Muniz,1985-12-05T00:00:00.000,
2618,Frankie Valli,1934-05-03T00:00:00.000,
2619,Franklin J. Schaffner,1920-05-30T00:00:00.000,1989-07-02T00:00:00.000
2620,Franky G,1965-10-30T00:00:00.000,
2621,Fred Armisen,1966-12-04T00:00:00.000,
2622,Fred Dekker,1959-04-09T00:00:00.000,
2623,Fred Durst,1970-08-20T00:00:00.000,
2624,Fred Gwynne,1926-07-10T00:00:00.000,1993-07-02T00:00:00.000
2625,Fred MacMurray,1908-08-30T00:00:00.000,1991-11-05T00:00:00.000
2626,Fred Malatesta,1889-04-18T00:00:00.000,1952-04-08T00:00:00.000
2627,Fred Melamed,1956-05-13T00:00:00.000,
2628,Fred Rogers,1928-03-20T00:00:00.000,2003-02-27T00:00:00.000
2629,Fred Savage,1976-07-09T00:00:00.000,
2630,Fred Schepisi,1939-12-26T00:00:00.000,
2631,Fred Tatasciore,,
2632,Fred Walton,,
2633,Fred Ward,1942-12-30T00:00:00.000,
2634,Fred Willard,1939-09-18T00:00:00.000,
2635,Fred Williamson,1938-03-05T00:00:00.000,
2636,Fred Wolf,1932-09-13T00:00:00.000,
2637,Fred Zinnemann,1907-04-29T00:00:00.000,1997-03-14T00:00:00.000
2638,Freddie Jones,1927-09-12T00:00:00.000,
2639,Freddy Rodr�guez,1975-01-17T00:00:00.000,
2640,Fr�d�ric Auburtin,1962-06-04T00:00:00.000,
2641,Fr�d�ric Forestier,,
2642,Frederic Forrest,1936-12-23T00:00:00.000,
2643,Frederick Weller,1947-06-24T00:00:00.000,
2644,Frederik Du Chau,1965-05-15T00:00:00.000,
2645,Fredro Starr,1971-04-18T00:00:00.000,
2646,French Stewart,1964-02-20T00:00:00.000,
2647,Frida Hallgren,1974-12-16T00:00:00.000,
2648,Fritz Kortner,1892-05-12T00:00:00.000,1970-07-22T00:00:00.000
2649,Fritz Lang,1890-12-05T00:00:00.000,1976-08-02T00:00:00.000
2650,G.J. Echternkamp,,
2651,G.W. Bailey,1944-08-27T00:00:00.000,
2652,G.W. Krauss,,
2653,Gabe Ib��ez,1971-06-07T00:00:00.000,
2654,Gabor Csupo,1952-09-29T00:00:00.000,
2655,Gabourey Sidibe,1983-05-06T00:00:00.000,
2656,Gabriel Almir�n,,
2657,Gabriel Bateman,,
2658,Gabriel Beristain,1955-05-09T00:00:00.000,
2659,Gabriel Damon,1976-04-23T00:00:00.000,
2660,Gabriel Hogan,,
2661,Gabriel Iglesias,1976-07-15T00:00:00.000,
2662,Gabriel Millman,1986-02-07T00:00:00.000,
2663,Gabriel Reyes,,
2664,Gabriel Thomson,1986-10-27T00:00:00.000,
2665,Gabriela Castillo,,
2666,Gabriela Tagliavini,1968-12-29T00:00:00.000,
2667,Gabriele Muccino,1967-05-20T00:00:00.000,
2668,Gabrielle Carteris,1961-01-02T00:00:00.000,
2669,Gabrielle Reece,1970-01-06T00:00:00.000,
2670,Gaby Hoffmann,1982-01-08T00:00:00.000,
2671,Gael Le Cornec,,
2672,Gage Golightly,1993-09-05T00:00:00.000,
2673,Gaia Weiss,1991-08-30T00:00:00.000,
2674,Gale Sondergaard,1899-02-15T00:00:00.000,1985-08-14T00:00:00.000
2675,Gano Grills,,
2676,Garba Tour�,,
2677,Garcelle Beauvais,1966-11-26T00:00:00.000,
2678,Gareth Edwards,,
2679,Gareth Evans,,
2680,Garrett Clayton,,
2681,Garrett M. Brown,1948-11-07T00:00:00.000,
2682,Garrett Morris,1937-02-01T00:00:00.000,
2683,Garrett Ryan,,
2684,Garrick Hagon,1939-09-27T00:00:00.000,
2685,Garry Cooper,1901-05-07T00:00:00.000,1961-05-13T00:00:00.000
2686,Garry Marshall,1934-11-13T00:00:00.000,2016-07-19T00:00:00.000
2687,Garry Shandling,1949-11-29T00:00:00.000,2016-03-24T00:00:00.000
2688,Garth Jennings,,
2689,Garvin Cross,,
2690,Gary Chapman,,
2691,Gary Cole,1956-09-20T00:00:00.000,
2692,Gary Coleman,1968-02-08T00:00:00.000,2010-05-28T00:00:00.000
2693,Gary Cooper,1901-05-07T00:00:00.000,1961-05-13T00:00:00.000
2694,Gary Daniels,1963-05-09T00:00:00.000,
2695,Gary David Goldberg,1944-06-25T00:00:00.000,2013-06-22T00:00:00.000
2696,Gary Dourdan,1966-12-11T00:00:00.000,
2697,Gary Farmer,1953-06-12T00:00:00.000,
2698,Gary Fleder,1965-12-19T00:00:00.000,
2699,Gary Halvorson,,
2700,Gary Hardwick,,
2701,Gary Lewis,,
2702,Gary Lockwood,1937-02-21T00:00:00.000,
2703,Gary McDonald,,
2704,Gary McKendry,,
2705,Gary Nelson,1951-12-20T00:00:00.000,
2706,Gary Oldman,1958-03-21T00:00:00.000,
2707,Gary Rogers,,
2708,Gary Ross,1956-11-03T00:00:00.000,
2709,Gary Schwartz,,
2710,Gary Sherman,,
2711,Gary Shore,,
2712,Gary Sinyor,,
2713,Gary Stretch,1968-11-04T00:00:00.000,
2714,Gary Trousdale,1960-06-08T00:00:00.000,
2715,Gary Weeks,1972-06-04T00:00:00.000,
2716,Gary Winick,1961-03-31T00:00:00.000,2011-02-27T00:00:00.000
2717,Gaspar No�,1963-12-27T00:00:00.000,
2718,Gast�n Pauls,1972-01-17T00:00:00.000,
2719,Gauhar Khan,1983-08-23T00:00:00.000,
2720,Gavin Hood,1963-05-12T00:00:00.000,
